ลำดับ,รหัสโรงเรียน,ชื่อโรงเรียน,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,โทรศัพท์,พิกัดละติจูด,พิกัดลองจิจูด,การรับอุดหนุน,สถานะโรงเรียน
1,1310010240,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,290/1,,,พรมแดน,บางบอน,บางบอน,กรุงเทพมหานคร,02-453-0800,13.6224095,100.3765599,รับอุดหนุน,เปิดกิจการ
2,1310010241,วิทยาลัยเทคโนโลยีการบริหารจัดการนานาชาติรีเจ้นท์,592,,,ประชาอุทิศ,ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,22744407,13.7674219,100.59577,ไม่รับอุดหนุน,เปิดกิจการ
3,1310100545,วิทยาลัยเทคโนโลยีวังเด็กพัฒน์อ่อนนุชบริหาร,458,,อ่อนนุช 88/4,อ่อนนุช-ลาดกระบัง,ประเวศ,ประเวศ,กรุงเทพมหานคร,02-329-1358,13.721169,100.705862,รับอุดหนุน,เปิดกิจการ
4,1310100770,วิทยาลัยเทคโนโลยีนีรชาบริหารธุรกิจ,98,,พระยาสุเรนทร์  13,พระยาสุเรนทร์,บางชัน,คลองสามวา,กรุงเทพมหานคร,02-540-6656,13.8284745,100.6971276,รับอุดหนุน,เปิดกิจการ
5,1310100817,วิทยาลัยเทคโนโลยีตั้งตรงจิตรพณิชยการ,2,,,มหาราช,พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,02-622-1919,13.7445453,100.493714,รับอุดหนุน,เปิดกิจการ
6,1310100818,วิทยาลัยเทคโนโลยีตั้งตรงจิตรบริหารธุรกิจ,2,,,มหาราช,พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,02-622-1919,13.7445453,100.493714,รับอุดหนุน,เปิดกิจการ
7,1310100819,วิทยาลัยเทคโนโลยีพระนครพณิชยการ,99,,,บุญศิริ,ศาลเจ้าพ่อเสือ,พระนคร,กรุงเทพมหานคร,02-0357215,13.754944,100.4975518,รับอุดหนุน,เปิดกิจการ
8,1310100820,โยนออฟอาร์คบริหารธุรกิจ,,,,,บางเสด็จ,ป่าโมก,อ่างทอง,,,,ไม่รับอุดหนุน,เลิกกิจการ
9,1310100821,วิทยาลัยเทคโนโลยีพณิชยการสุโขทัย,11,,สุพรรณ,สุโขทัย,ดุสิต,ดุสิต,กรุงเทพมหานคร,02-668-7668,,,ไม่รับอุดหนุน,เลิกกิจการ
10,1310100822,วิทยาลัยเทคโนโลยีวิมล ศรีย่าน,266/9,,,นครไชยศรี,ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,02-669-5199,13.7855558,100.5109939,รับอุดหนุน,เปิดกิจการ
11,1310100823,วิทยาลัยอาชีวศึกษาอาชีวศิลป์,268,,,นครไชยศรี,ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,02-241-3795,13.7852272,100.511214,รับอุดหนุน,เปิดกิจการ
12,1310100824,วิทยาลัยเทคโนโลยีพณิชยการสามเสน,1-ก.พ.,,สามเสน 22,สามเสน,ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,02-241-2256,,,รับอุดหนุน,ยื่นขอเลิกกิจการ/ไม่จัดการเรียนการสอน
13,1310100825,โรงเรียนกองทัพบกอุปถัมภ์ช่างกล ขส.ทบ.,120,5,,ติวานนท์,บ้านใหม่,ปากเกร็ด,นนทบุรี,25509215,13.9321547,100.5315012,รับอุดหนุน,เปิดกิจการ
14,1310100829,วิทยาลัยเทคโนโลยีไทยบริหารธุรกิจ,43,,,พหลโยธิน,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,02-522-7777,13.8640965,100.5888754,รับอุดหนุน,เปิดกิจการ
15,1310100830,วิทยาลัยเทคโนโลยีวิบูลย์บริหารธุรกิจ รามอินทรา,5,,รามอินทรา 39,รามอินทรา 39 แยก 5,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,0-2521-8222-7,13.863548,100.6263521,รับอุดหนุน,เปิดกิจการ
16,1310100832,วิทยาลัยเทคโนโลยีเซนต์เทเรซาบริหารธุรกิจ,2567/2569,,,รามคำแหง,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,027323331-9,,,ไม่รับอุดหนุน,ยื่นขอเลิกกิจการ/ไม่จัดการเรียนการสอน
17,1310100834,วิทยาลัยเทคโนโลยีบางกะปิ,190/1,,รามคำแหง68,รามคำแหง,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,02-376-2142,,,ไม่รับอุดหนุน,เลิกกิจการ
18,1310100835,วิทยาลัยเทคโนโลยีช่างอุตสาหกรรมกรุงเทพ,2,,รามคำแหง 28,รามคำแหง,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,02-732-1620,13.7551302,100.6330197,รับอุดหนุน,เปิดกิจการ
19,1310100836,วิทยาลัยเทคโนโลยีสหะพาณิชย์บริหารธุรกิจ,313-315        ,,ปุณณวิถี 9,สุขุมวิท 101,บางจาก,พระโขนง,กรุงเทพมหานคร,02-331-4514,13.6919536,100.6110906,รับอุดหนุน,เปิดกิจการ
20,1310100837,วิทยาลัยเทคโนโลยีศรีวัฒนาบริหารธุรกิจ,29,,64/1,สุขุมวิท,บางจาก,พระโขนง,กรุงเทพมหานคร,02-744-9418,,,ไม่รับอุดหนุน,เลิกกิจการ
21,1310100839,วิทยาลัยเทคโนโลยีกรุงเทพ,4,,สุขุมวิท97/1,สุขุมวิท,บางจาก,พระโขนง,กรุงเทพมหานคร,02-311-2521,13.6965992,100.6059683,รับอุดหนุน,เปิดกิจการ
22,1310100841,วิทยาลัยอาชีวศึกษาเอเซีย,288,1,พัฒนาชนบท 4,ร่มเกล้า1 (พัฒนาชนบท),คลองสองต้นนุ่น,ลาดกระบัง,กรุงเทพมหานคร,02-373-6629,13.742772,100.731162,รับอุดหนุน,เปิดกิจการ
23,1310100845,วิทยาลัยเทคโนโลยีสายประสิทธิ์บริหารธุรกิจ,127,,เพชรเกษม 11,เพชรเกษม,วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,02-467-0544,13.8081586,100.5726835,รับอุดหนุน,เปิดกิจการ
24,1310100847,วิทยาลัยเทคโนโลยีวิบูลย์บริหารธุรกิจ,202,,,,วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,24578111,,,รับอุดหนุน,เลิกกิจการ
25,1310100848,วิทยาลัยเทคโนโลยีพณิชยการราชดำเนิน,378,,อิสรภาพ 42,อิสรภาพ,วัดอรุณ,บางกอกใหญ่,กรุงเทพมหานคร,028-911-6105,13.7436997,100.4829204,รับอุดหนุน,เปิดกิจการ
26,1310100850,วิทยาลัยเทคโนโลยีสยาม(สยามเทค),46/9,,,จรัญสนิทวงศ์,วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,028640359-63,13.7380719,100.471108,รับอุดหนุน,เปิดกิจการ
27,1310100851,วิทยาลัยอาชีวศึกษากรุงเทพธุรกิจ,202/4,,เพชรเกษม 18,เพชรเกษม,วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,02-457-1596,13.7271086,100.4692525,รับอุดหนุน,เปิดกิจการ
28,1310100852,วิทยาลัยเทคโนโลยีมิตรพลบริหารธุรกิจ,111,,เจริญรัถ 30,เจริญรัถ,คลองต้นไทร,คลองสาน,กรุงเทพมหานคร,02-861-0793,,,รับอุดหนุน,ยื่นขอเลิกกิจการ/ไม่จัดการเรียนการสอน
29,1310100853,วิทยาลัยเทคโนโลยีวัฒนาบริหารธุรกิจ,188,,,สมเด็จเจ้าพระยา,คลองสาน,คลองสาน,กรุงเทพมหานคร,02-438-2222,,,ไม่รับอุดหนุน,ไม่มีสภาพ
30,1310100854,วิทยาลัยอาชีวศึกษาพณิชยการจรัลสนิทวงศ์,538,,จรัญสนิทวงศ์ 41,จรัญสนิทวงศ์,อรุณอมรินทร์,บางกอกน้อย,กรุงเทพมหานคร,024-346-1557,,,ไม่รับอุดหนุน,ยื่นขอเลิกกิจการ/ไม่จัดการเรียนการสอน
31,1310100857,วิทยาลัยเทคโนโลยีจรัลสนิทวงศ์,18,,จรัญ41,จรัญสนิทวงศ์,อรุณอมรินทร์,บางกอกน้อย,กรุงเทพมหานคร,02-4346155-7,13.7690683,100.4751614,รับอุดหนุน,เปิดกิจการ
32,1310100859,วิทยาลัยเทคโนโลยีการจัดการเพชรเกษม,127,4,เพชรเกษม 81,เพชรเกษม,หนองแขม,หนองแขม,กรุงเทพมหานคร,028-112-5903,13.6674947,100.3430355,รับอุดหนุน,เปิดกิจการ
33,1310100860,วิทยาลัยเทคโนโลยีวีรสุนทรบริหารธุรกิจ,,,,,,,,,,,ไม่รับอุดหนุน,เลิกกิจการ
34,1310100861,วิทยาลัยเทคโนโลยีหมู่บ้านครู,101,,เพชรเกษม 110,เพชรเกษม,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,02-421-0115,13.709587,100.34646,รับอุดหนุน,เปิดกิจการ
35,1310100862,วิทยาลัยเทคโนโลยีสารสาสน์,313,5,ประชุอุทิศ 90,ประชาอุทิศ,ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,02-815-8182,13.6057209,100.5050742,รับอุดหนุน,เปิดกิจการ
36,1310100863,วิทยาลัยเทคโนโลยีพณิชยการสยาม ในพระอุปถัมภ์สมเด็จพระเจ้าภคินีเธอ เจ้าฟ้าเพชรรัตนราชสุดา สิริโสภาพัณณวดี,72,,จรัญสนิทวงศ์ 56,จรัญสนิทวงศ์,บางยี่ขัน,บางพลัด,กรุงเทพมหานคร,02-883-1901,,,ไม่รับอุดหนุน,เลิกกิจการ
