ลำดับ,รหัสสถานศึกษา,ชื่อสถานศึกษา,อาชีวศึกษาจังหวัด,ภาค,ประเภทสถานศึกษา,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,โทรศัพท์,พิกัดละติจูด,พิกัดลองจิจูด,เว็บไซต์
1,1310016101,กาญจนาภิเษกวิทยาลัยช่างทองหลวง,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,กาญจนาภิเษกวิทยาลัยช่างทองหลวง,299/1,5,,,ศาลายา,พุทธมณฑล,นครปฐม,73170,0-2431-3613,13.81600078,100.3194978,http://www.goldsmith.ac.th
2,1310016201,วิทยาลัยอาชีวศึกษาเสาวภา,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยอาชีวศึกษา,377,,,บ้านหม้อ,วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,10200,22221786,13.743314,100.497576,http://www.swbvc.ac.th
3,1310026101,วิทยาลัยเทคนิคดุสิต,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยเทคนิค,76,1,ระนอง 2,ระนอง 2,ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,10300,22410099,13.786261,100.53109,http://www.technicdusit.ac.th/
4,1310036401,วิทยาลัยการอาชีพกาญจนาภิเษกหนองจอก,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยการอาชีพ,66,8,6,ร่วมพัฒนา,ลำผักชี,หนองจอก,กรุงเทพมหานคร,10530,29887739,13.7917607,100.8620888,http://www.knice.ac.th
5,1310046501,วิทยาลัยสารพัดช่างสี่พระยา,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยสารพัดช่าง,474/2,,,สี่พระยา,มหาพฤฒาราม,บางรัก,กรุงเทพมหานคร,10500,22361245,13.7309529,100.5198625,http://www.spy.ac.th
6,1310066201,วิทยาลัยศิลปหัตถกรรมกรุงเทพ,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยศิลปหัตถกรรม,89,,,ลาดพร้าว 101,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,10240,02-376-0062-3,13.7927439,100.62599,http://www.artsbkk.ac.th
7,1310086501,วิทยาลัยสารพัดช่างพระนคร,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยสารพัดช่าง,286/1,,,บำรุงเมือง,บ้านบาตร,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100,22232276,13.75158081,100.5059495,http://www.bpc.ac.th
8,1310096201,วิทยาลัยพณิชยการบางนา,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยพณิชยการ,22,1,บางนา-ตราด 1,บางนา-ตราด,บางนาใต้,บางนา,กรุงเทพมหานคร,10260,23612902,13.675835,100.616077,http://www.bncc.ac.th
9,1310106101,วิทยาลัยเทคนิคมีนบุรี,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยเทคนิค,57,,,สีหบุรานุกิจ,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,10510,0 2517 2041,13.813191,100.720097,http://www.minburi.ac.th
10,1310106102,วิทยาลัยเทคนิคกาญจนาภิเษกมหานคร,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยเทคนิค,73,18,คุ้มเกล้า,คุ้มเกล้า,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,10510,0-2175-1016,13.807746,100.782521,http://www.ktcm.ac.th
11,1310166201,วิทยาลัยอาชีวศึกษาธนบุรี,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยอาชีวศึกษา,182,,พาณิชยการธนบุรี,จรัญสนิทวงศ์13,วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,10600,24123486,13.7409802,100.4637213,http://www.thonburi.ac.th
12,1310186501,วิทยาลัยสารพัดช่างธนบุรี,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยสารพัดช่าง,159,,,เชียงใหม่,คลองสาน,คลองสาน,กรุงเทพมหานคร,10600,"24,375,371,024,375,500",13.7339262,100.5047043,http://www.tpc.ac.th
13,1310226201,วิทยาลัยพณิชยการธนบุรี,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยพณิชยการ,20,,บางแวก3,จรัญสนิทวงศ์13,คูหาสวรรค์,ภาษีเจริญ,กรุงเทพมหานคร,10160,24670571,13.73802944,100.4595398,http://www.panitthon.ac.th
14,1310246201,วิทยาลัยพณิชยการเชตุพน,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยพณิชยการ,126,,,ประชาอุทิศ,ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,02-4273399,13.668965,100.504539,http://www.chetupon.ac.th
15,1310256501,วิทยาลัยสารพัดช่างนครหลวง,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยสารพัดช่าง,332,,จรัญสนิทวงศ์ 68,จรัญสนิทวงศ์,บางพลัด,บางพลัด,กรุงเทพมหานคร,10700,24241944,13.7859277,100.4989195,https://www.nlpoly.ac.th
16,1310276401,วิทยาลัยการอาชีพนวมินทราชูทิศ,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยการอาชีพ,11-พ.ย.,,นวลจันทร์56แยก3,นวลจันทร์,นวลจันทร์,บึงกุ่ม,กรุงเทพมหานคร,10230,29489779,13.83668049,100.6463182,http://www.nwm.ac.th
17,1310286201,วิทยาลัยอาชีวศึกษาเอี่ยมละออ,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยอาชีวศึกษา,507/2,,สวนพลู,สาทร 3,ทุ่งมหาเมฆ,สาทร,กรุงเทพมหานคร,10120,22869712,13.71708,100.54019,https://www.eovc.ac.th/
18,1310366101,วิทยาลัยเทคนิคดอนเมือง,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยเทคนิค,425,,,สรงประภา,ดอนเมือง,ดอนเมือง,กรุงเทพมหานคร,10210,02-565-5277-9,13.928482,100.580641,http://www.technicdon.ac.th
19,1310456201,วิทยาลัยพณิชยการอินทราชัย,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยพณิชยการ,467,1,รามคำแหง39 แยก 19,ประชาอุทิศ,พลับพลา,วังทองหลาง,กรุงเทพมหานคร,10310,23145401,13.76152114,100.6059193,http://www.intrachai.ac.th
20,1310466201,วิทยาลัยบริหารธุรกิจและการท่องเที่ยวกรุงเทพ,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยบริหารธุรกิจและการท่องเที่ยว,11,,เลียบคลองสอง 19,เลียบคลองสอง,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,10510,02-914-3172-3,13.86520515,100.7090037,http://www.bcbat.ac.th
21,1310506101,วิทยาลัยเทคนิคราชสิทธาราม,กรุงเทพมหานคร,ภาคตะวันออกและกรุงเทพมหานคร,วิทยาลัยเทคนิค,19,,เอกชัย116,เอกชัย,บางบอนใต้,บางบอน,กรุงเทพมหานคร,10150,28950856,13.6474128,100.3770639,http://www.rajasit.ac.th
22,1311016101,วิทยาลัยเทคนิคสมุทรปราการ,สมุทรปราการ,ภาคกลาง,วิทยาลัยเทคนิค,336,1,,สุขุมวิท,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,23239009,13.544414,100.62025,http://www.sptc.ac.th
23,1311016501,วิทยาลัยสารพัดช่างสมุทรปราการ,สมุทรปราการ,ภาคกลาง,วิทยาลัยสารพัดช่าง,274,,,สุขุมวิท,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,10270,23953935,13.601633,100.556565,http://www.spkpoly.ac.th
