"ACADEMIC_YEAR","UNIV_ID","UNIV_NAME","PROVINCE_UNIV_NAME_TH"
"2564","00100","จุฬาลงกรณ์มหาวิทยาลัย","กรุงเทพมหานคร"
"2564","00200","มหาวิทยาลัยเกษตรศาสตร์","กรุงเทพมหานคร"
"2564","00201","มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน","นครปฐม"
"2564","00202","มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตศรีราชา","ชลบุรี"
"2564","00203","มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตเฉลิมพระเกียรติสกลนคร","สกลนคร"
"2564","00204","มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตสุพรรณบุรี","สุพรรณบุรี"
"2564","00210","มหาวิทยาลัยเกษตรศาสตร์ บางเขน","กรุงเทพมหานคร"
"2564","00300","มหาวิทยาลัยขอนแก่น","ขอนแก่น"
"2564","00301","มหาวิทยาลัยขอนแก่น วิทยาเขตหนองคาย","หนองคาย"
"2564","00400","มหาวิทยาลัยเชียงใหม่","เชียงใหม่"
"2564","00500","มหาวิทยาลัยธรรมศาสตร์","กรุงเทพมหานคร"
"2564","00501","มหาวิทยาลัยธรรมศาสตร์ ศูนย์ลำปาง","ลำปาง"
"2564","00502","มหาวิทยาลัยธรรมศาสตร์ ศูนยรังสิต","ปทุมธานี"
"2564","00503","มหาวิทยาลัยธรรมศาสตร์ ศูนยถาวร-อุษา ประภา(ศูนย์พัทยา)","ชลบุรี"
"2564","00600","มหาวิทยาลัยมหิดล","กรุงเทพมหานคร"
"2564","00601","มหาวิทยาลัยมหิดล วิทยาเขตกาญจนบุรี","กาญจนบุรี"
"2564","00800","มหาวิทยาลัยศิลปากร","กรุงเทพมหานคร"
"2564","00801","มหาวิทยาลัยศิลปากร วิทยาเขตพระราชวังสนามจันทร์","นครปฐม"
"2564","00802","มหาวิทยาลัยศิลปากร วิทยาเขตสารสนเทศเพชรบุรี","เพชรบุรี"
"2564","01000","มหาวิทยาลัยสงขลานครินทร์","สงขลา"
"2564","01001","มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตภูเก็ต","ภูเก็ต"
"2564","01002","มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตสุราษฎร์ธานี","สุราษฎร์ธานี"
"2564","01003","มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตปัตตานี","ปัตตานี"
"2564","01004","มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตตรัง","ตรัง"
"2564","01200","สถาบันบัณฑิตพัฒนบริหารศาสตร์","กรุงเทพมหานคร"
"2564","01201","สถาบันบัณฑิตพัฒนบริหารศาสตร์ โครงการจัดการศึกษานอกสถานที่ตั้งจังหวัดชลบุรี","ชลบุรี"
"2564","01202","สถาบันบัณฑิตพัฒนบริหารศาสตร์ โครงการจัดการศึกษานอกสถานที่ตั้งศูนย์การศึกษาอำเภอสีคิ้ว","นครราชสีมา"
"2564","01204","สถาบันบัณฑิตพัฒนบริหารศาสตร์ โครงการจัดการศึกษานอกสถานที่ตั้งจังหวัดอุดรธานี","อุดรธานี"
"2564","01207","สถาบันบัณฑิตพัฒนบริหารศาสตร์ โครงการจัดการศึกษานอกสถานที่ตั้งจังหวัดพิษณุโลก","พิษณุโลก"
"2564","01208","สถาบันบัณฑิตพัฒนบริหารศาสตร์ โครงการจัดการศึกษานอกสถานที่ตั้งจังหวัดภูเก็ต","ภูเก็ต"
"2564","01209","สถาบันบัณฑิตพัฒนบริหารศาสตร์ โครงการจัดการศึกษานอกสถานที่ตั้งจังหวัดสุราษฎร์ธานี","สุราษฎร์ธานี"
"2564","01211","สถาบันบัณฑิตพัฒนบริหารศาสตร์ โครงการจัดการศึกษานอกสถานที่ตั้งจังหวัดยะลา","ยะลา"
