 เลขรหัสสถานศึกษา , จังหวัด , ขื่อโรงเรียน , ประเภทสถานศึกษา , ระดับชั้น , ประเภทวิชา , สาขาวิชา , ผู้สำเร็จการศึกษา , ติดตามได้ , ศึกษาต่อ , รองานหรือว่างงาน , ทำงานรัฐวิสาหกิจ , ทำงานราชการ , ทำงานเอกชน , อาชีพอิสระ , อื่น ๆ 
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวช.,พาณิชยกรรม/บริหารธุรกิจ,การตลาด,44,39,11,3,    ,    ,18,5,2
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวช.,พาณิชยกรรม/บริหารธุรกิจ,การบัญชี,154,150,118,8,    ,    ,13,11,    
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวช.,พาณิชยกรรม/บริหารธุรกิจ,คอมพิวเตอร์ธุรกิจ,208,183,86,4,    ,    ,60,31,2
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวช.,อุตสาหกรรม,ช่างไฟฟ้ากำลัง,89,83,56,2,    ,    ,18,4,3
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวช.,อุตสาหกรรม,ช่างยนต์,145,126,82,9,    ,    ,15,11,9
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวช.,อุตสาหกรรม,ช่างอิเล็กทรอนิกส์,28,26,10,    ,    ,    ,11,1,4
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวส.,พาณิชยกรรม/บริหารธุรกิจ,เทคโนโลยีธุรกิจดิจิทัล,143,133,    ,9,3,3,80,25,13
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวส.,พาณิชยกรรม/บริหารธุรกิจ,การจัดการ,178,160,    ,17,    ,4,98,36,5
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวส.,พาณิชยกรรม/บริหารธุรกิจ,การตลาด,44,43,    ,    ,    ,    ,27,3,13
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวส.,พาณิชยกรรม/บริหารธุรกิจ,การบัญชี,137,135,    ,9,4,9,86,12,15
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวส.,อุตสาหกรรม,เทคนิคเครื่องกล,89,85,    ,6,1,2,45,15,16
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวส.,อุตสาหกรรม,เทคนิคควบคุมและซ่อมบำรุงระบบขนส่งทางราง,12,12,7,    ,    ,    ,5,    ,    
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวส.,อุตสาหกรรม,ไฟฟ้า,63,60,    ,3,2,2,48,1,4
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวส.,อุตสาหกรรม,ช่างอากาศยาน,15,15,1,7,    ,1,5,    ,1
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวส.,อุตสาหกรรม,อิเล็กทรอนิกส์,22,20,    ,    ,2,    ,17,    ,1
1310010240,กรุงเทพมหานคร,วิทยาลัยเทคโนโลยีฐานเทคโนโลยี,เอกชน,ปวส.,อุตสาหกรรมท่องเที่ยว,การท่องเที่ยว,6,5,    ,1,    ,    ,    ,4,    
1310016101,กรุงเทพมหานคร,กาญจนาภิเษกวิทยาลัย ช่างทองหลวง,รัฐ,ป.ตรี,ศิลปกรรม,ช่างทองหลวง,14,14,    ,    ,    ,    ,    ,14,    
1310016101,กรุงเทพมหานคร,กาญจนาภิเษกวิทยาลัย ช่างทองหลวง,รัฐ,ปวช.,ศิลปกรรม,เครื่องประดับอัญมณี,120,120,35,    ,    ,    ,39,46,    
1310016101,กรุงเทพมหานคร,กาญจนาภิเษกวิทยาลัย ช่างทองหลวง,รัฐ,ปวช.,ศิลปกรรม,คอมพิวเตอร์กราฟิก,8,8,2,    ,    ,    ,    ,6,    
1310016101,กรุงเทพมหานคร,กาญจนาภิเษกวิทยาลัย ช่างทองหลวง,รัฐ,ปวช.,ศิลปกรรม,ช่างทองหลวง,35,35,10,    ,    ,    ,9,16,    
1310016101,กรุงเทพมหานคร,กาญจนาภิเษกวิทยาลัย ช่างทองหลวง,รัฐ,ปวส.,ศิลปกรรม,เครื่องประดับอัญมณี,26,26,    ,    ,    ,    ,    ,26,    
1310016101,กรุงเทพมหานคร,กาญจนาภิเษกวิทยาลัย ช่างทองหลวง,รัฐ,ปวส.,ศิลปกรรม,ช่างทองหลวง,9,9,    ,    ,    ,    ,    ,9,    
1310016201,กรุงเทพมหานคร,วิทยาลัยอาชีวศึกษาเสาวภา,รัฐ,ป.ตรี,คหกรรม,เทคโนโลยีอาหารและโภชนาการ,15,15,    ,15,    ,    ,    ,    ,    
1310016201,กรุงเทพมหานคร,วิทยาลัยอาชีวศึกษาเสาวภา,รัฐ,ปวช.,คหกรรม,แฟชั่นและสิ่งทอ,4,4,2,    ,    ,    ,    ,2,    
1310016201,กรุงเทพมหานคร,วิทยาลัยอาชีวศึกษาเสาวภา,รัฐ,ปวช.,คหกรรม,คหกรรมศาสตร์,4,4,3,1,    ,    ,    ,    ,    
1310016201,กรุงเทพมหานคร,วิทยาลัยอาชีวศึกษาเสาวภา,รัฐ,ปวช.,คหกรรม,อาหารและโภชนาการ,78,78,47,28,    ,    ,    ,3,    
1310016201,กรุงเทพมหานคร,วิทยาลัยอาชีวศึกษาเสาวภา,รัฐ,ปวช.,ศิลปกรรม,การออกแบบ,20,20,13,7,    ,    ,    ,    ,    
1310016201,กรุงเทพมหานคร,วิทยาลัยอาชีวศึกษาเสาวภา,รัฐ,ปวช.,ศิลปกรรม,วิจิตรศิลป์,26,26,20,5,    ,    ,    ,1,    
1310016201,กรุงเทพมหานคร,วิทยาลัยอาชีวศึกษาเสาวภา,รัฐ,ปวช.,ศิลปกรรม,ออกแบบนิเทศศิลป์,37,37,32,3,    ,    ,    ,2,    
1310016201,กรุงเทพมหานคร,วิทยาลัยอาชีวศึกษาเสาวภา,รัฐ,ปวช.,อุตสาหกรรมท่องเที่ยว,การโรงแรม,9,9,5,3,    ,    ,    ,1,    
1310016201,กรุงเทพมหานคร,วิทยาลัยอาชีวศึกษาเสาวภา,รัฐ,ปวส.,คหกรรม,การจัดการธุรกิจอาหาร,12,12,6,2,    ,    ,    ,4,    
1310016201,กรุงเทพมหานคร,วิทยาลัยอาชีวศึกษาเสาวภา,รัฐ,ปวส.,คหกรรม,การบริหารงานคหกรรมศาสตร์,1,1,    ,1,    ,    ,    ,    ,    
1310016201,กรุงเทพมหานคร,วิทยาลัยอาชีวศึกษาเสาวภา,รัฐ,ปวส.,คหกรรม,อาหารและโภชนาการ,14,14,8,4,    ,    ,    ,2,    
1310016201,กรุงเทพมหานคร,วิทยาลัยอาชีวศึกษาเสาวภา,รัฐ,ปวส.,อุตสาหกรรมท่องเที่ยว,การโรงแรม,5,5,2,    ,    ,    ,    ,3,    
1310026101,กรุงเทพมหานคร,วิทยาลัยเทคนิคดุสิต,รัฐ,ป.ตรี,อุตสาหกรรม,เทคโนโลยีการก่อสร้าง,14,14,    ,    ,    ,    ,    ,    ,14
1310026101,กรุงเทพมหานคร,วิทยาลัยเทคนิคดุสิต,รัฐ,ปวช.,อุตสาหกรรม,โยธา,7,7,6,    ,    ,    ,    ,1,    
1310026101,กรุงเทพมหานคร,วิทยาลัยเทคนิคดุสิต,รัฐ,ปวช.,อุตสาหกรรม,ช่างเครื่องเรือนและตกแต่งภายใน,2,2,    ,    ,    ,    ,    ,2,    
1310026101,กรุงเทพมหานคร,วิทยาลัยเทคนิคดุสิต,รัฐ,ปวช.,อุตสาหกรรม,ช่างก่อสร้าง,7,7,4,    ,    ,    ,    ,3,    
1310026101,กรุงเทพมหานคร,วิทยาลัยเทคนิคดุสิต,รัฐ,ปวช.,อุตสาหกรรม,สถาปัตยกรรม,9,9,5,1,    ,    ,    ,3,    
1310026101,กรุงเทพมหานคร,วิทยาลัยเทคนิคดุสิต,รัฐ,ปวช.,อุตสาหกรรม,สำรวจ,3,3,2,    ,    ,    ,    ,1,    
1310026101,กรุงเทพมหานคร,วิทยาลัยเทคนิคดุสิต,รัฐ,ปวส.,อุตสาหกรรม,เฟอร์นิเจอร์และตกแต่งภายใน,9,8,    ,1,    ,    ,6,1,    
1310026101,กรุงเทพมหานคร,วิทยาลัยเทคนิคดุสิต,รัฐ,ปวส.,อุตสาหกรรม,โยธา,9,9,1,1,    ,1,    ,6,    
1310026101,กรุงเทพมหานคร,วิทยาลัยเทคนิคดุสิต,รัฐ,ปวส.,อุตสาหกรรม,ช่างก่อสร้าง,16,16,    ,3,    ,1,    ,11,1
1310026101,กรุงเทพมหานคร,วิทยาลัยเทคนิคดุสิต,รัฐ,ปวส.,อุตสาหกรรม,สำรวจ,6,6,    ,    ,    ,    ,2,4,    
1310036401,กรุงเทพมหานคร,วิทยาลัยการอาชีพกาญจนาภิเษกหนองจอก,รัฐ,ป.ตรี,อุตสาหกรรม,เทคโนโลยีเครื่องกล,15,15,2,1,    ,    ,3,9,    
1310036401,กรุงเทพมหานคร,วิทยาลัยการอาชีพกาญจนาภิเษกหนองจอก,รัฐ,ป.ตรี,อุตสาหกรรม,เทคโนโลยีไฟฟ้า,25,25,    ,    ,1,2,20,2,    
1310036401,กรุงเทพมหานคร,วิทยาลัยการอาชีพกาญจนาภิเษกหนองจอก,รัฐ,ปวช.,พาณิชยกรรม/บริหารธุรกิจ,การตลาด,22,22,22,    ,    ,    ,    ,    ,    
1310036401,กรุงเทพมหานคร,วิทยาลัยการอาชีพกาญจนาภิเษกหนองจอก,รัฐ,ปวช.,พาณิชยกรรม/บริหารธุรกิจ,การบัญชี,10,10,10,    ,    ,    ,    ,    ,    
1310036401,กรุงเทพมหานคร,วิทยาลัยการอาชีพกาญจนาภิเษกหนองจอก,รัฐ,ปวช.,พาณิชยกรรม/บริหารธุรกิจ,คอมพิวเตอร์ธุรกิจ,65,64,62,    ,    ,    ,    ,2,    
1310036401,กรุงเทพมหานคร,วิทยาลัยการอาชีพกาญจนาภิเษกหนองจอก,รัฐ,ปวช.,อุตสาหกรรม,ช่างไฟฟ้ากำลัง,41,41,41,    ,    ,    ,    ,    ,    
1310036401,กรุงเทพมหานคร,วิทยาลัยการอาชีพกาญจนาภิเษกหนองจอก,รัฐ,ปวช.,อุตสาหกรรม,ช่างกลโรงงาน,27,27,27,    ,    ,    ,    ,    ,    
1310036401,กรุงเทพมหานคร,วิทยาลัยการอาชีพกาญจนาภิเษกหนองจอก,รัฐ,ปวช.,อุตสาหกรรม,ช่างก่อสร้าง,10,10,10,    ,    ,    ,    ,    ,    
